"key","en","vi"
"GamblingSettings.higherLower.maxStreakChat","&a[Casino] &6MAX STREAK! &aYou hit %streak% correct guesses! Auto-cashing out: &6%amount% coins!","&a[Sòng Bạc] &6CHUỖI TỐI ĐA! &aBạn đoán đúng %streak% lần! Tự động rút: &6%amount% đồng!"
"GamblingSettings.higherLower.maxStreakLabel","&7Max streak: &e","&7Chuỗi tối đa: &e"
"GamblingSettings.higherLower.multiplierLabel","&7Multiplier: &e","&7Nhân: &e"
"GamblingSettings.higherLower.nextCardPrompt","&7Is the next card higher or lower?","&7Lá bài tiếp theo cao hơn hay thấp hơn?"
"GamblingSettings.higherLower.potentialWinLabel","&7Potential Win: &a","&7Tiềm Năng Thắng: &a"
"GamblingSettings.higherLower.revealing","&7Revealing...","&7Đang lật bài..."
"GamblingSettings.higherLower.streakLabel","&6Streak: ","&6Chuỗi: "
"GamblingSettings.higherLower.wait","&7Wait...","&7Đợi..."
"GamblingSettings.menus.bettingTitle","&6&lCasino - %game%","&6&lSòng Bạc - %game%"
"GamblingSettings.menus.blackjackTitle","&6&lBlackjack","&6&lBlackjack"
"GamblingSettings.menus.cancelButton","&c&lCancel","&c&lHủy"
"GamblingSettings.menus.coinFlipTitle","&e&lCoin Flip","&e&lTung Đồng Xu"
"GamblingSettings.menus.higherLowerTitle","&b&lHigher or Lower","&b&lCao hay Thấp"
"GamblingSettings.menus.playButton","&a&lPLAY!","&a&lCHƠI!"
"GamblingSettings.menus.slotsTitle","&d&lSlot Machine","&d&lMáy Đánh Bạc"
"GamblingSettings.messages.betPlaced","&7[Casino] Bet placed: &6%amount% coins","&7[Sòng Bạc] Đã đặt cược: &6%amount% đồng"
"GamblingSettings.messages.debtWarning","&c[Casino] Warning: You are now &6%debt% coins &cin debt! The Debt Collector is watching...","&c[Sòng Bạc] Cảnh báo: Bạn đang nợ &6%debt% đồng&c! Người đòi nợ đang theo dõi..."
"GamblingSettings.messages.insufficientFunds","&c[Casino] You can't afford that bet!","&c[Sòng Bạc] Bạn không đủ tiền để đặt cược đó!"
"GamblingSettings.messages.lose","&c[Casino] Better luck next time. You lost &6%amount% coins&c.","&c[Sòng Bạc] Chúc may mắn lần sau. Bạn đã thua &6%amount% đồng&c."
"GamblingSettings.messages.win","&a[Casino] Congratulations! You won &6%amount% coins&a!","&a[Sòng Bạc] Chúc mừng! Bạn đã thắng &6%amount% đồng&a!"
"GamblingSettings.slots.betLabel","&aBet: ","&aCược: "
"GamblingSettings.slots.bigWinTitle","&a&lBIG WIN!","&a&lTHẮNG LỚN!"
"GamblingSettings.slots.chanceRarityNote","&8Chance shown as rarity colors","&8Cơ hội hiển thị theo màu độ hiếm"
"GamblingSettings.slots.closeToContinue","&eClose to continue","&eĐóng để tiếp tục"
"GamblingSettings.slots.jackpotTitle","&6&l✦ JACKPOT! ✦","&6&l✦ JACKPOT! ✦"
"GamblingSettings.slots.lostPrefix","&7You lost &c","&7Bạn đã thua &c"
"GamblingSettings.slots.match2Lore","&7Match 2 symbols for a small return","&7Khớp 2 ký hiệu để nhận thưởng nhỏ"
"GamblingSettings.slots.match3Lore","&7Match 3 symbols to win!","&7Khớp 3 ký hiệu để thắng!"
"GamblingSettings.slots.noMatchTitle","&c&lNo Match","&c&lKhông Khớp"
"GamblingSettings.slots.paylineLabel","&e>>> PAYLINE >>>","&e>>> DÒNG THƯỞNG >>>"
"GamblingSettings.slots.payoutSymbolFormat","$symbol&7: &a$multiplierx &8(2x: $twoMatchx)","$symbol&7: &a$multiplierx &8(2x: $twoMatchx)"
"GamblingSettings.slots.payoutTableTitle","&6Payout Table","&6Bảng Trả Thưởng"
"GamblingSettings.slots.payoutsTitle","&6&lPAYOUTS &7(Rarer = Higher!)","&6&lTRẢ THƯỞNG &7(Hiếm hơn = Cao hơn!)"
"GamblingSettings.slots.smallWinTitle","&e&lSmall Win!","&e&lThắng Nhỏ!"
"GamblingSettings.slots.spinBetLore","&7Bet: &6","&7Cược: &6"
"GamblingSettings.slots.spinButton","&a&lSPIN!","&a&lQUAY!"
"GamblingSettings.slots.spinClickLore","&7Click to spin the reels!","&7Nhấn để quay cuộn!"
"GamblingSettings.slots.spinning","&7Spinning...","&7Đang quay..."
"GamblingSettings.slots.wonPrefix","&7You won &a","&7Bạn đã thắng &a"
"HiddenChamber_grassland_Wand.lore[0]","The wizard's magical wand","Cây đũa phép của pháp sư"
"HiddenChamber_grassland_Wand.lore[1]","Used to cast all sorts of spells!","Dùng để thi triển đủ loại phép thuật!"
"HiddenChamber_grassland_Wand.name","&dMagic Wand","&dĐũa Phép"
"ItemSettings.armorEntry","&7Elite Armor: &2$EDEF","&7Giáp Elite: &2$EDEF"
"ItemSettings.directDropCoinMessage","&8[EliteMobs] &aObtained &2$amount $currencyName &a!","&8[EliteMobs] &aNhận được &2$amount $currencyName &a!"
"ItemSettings.directDropCustomLootMessage","&8[EliteMobs] &2Obtained $itemName &2!","&8[EliteMobs] &2Nhận được $itemName &2!"
"ItemSettings.directDropMinecraftLootMessage","&8[EliteMobs] &aObtained $itemName &a!","&8[EliteMobs] &aNhận được $itemName &a!"
"ItemSettings.eliteEnchantmentLoreStrings","Elite","Tinh Nhuệ"
"ItemSettings.eliteItemScrollLore[0]","&fUse at the Scroll Applier NPC to enchant","&fDùng tại NPC Người Áp Cuộn để phong ấn"
"ItemSettings.eliteItemScrollLore[1]","&fa non-elite item into a level $level","&fmột vật phẩm không phải elite thành cấp $level"
"ItemSettings.eliteItemScrollLore[2]","&felite item!","&fvật phẩm elite!"
"ItemSettings.eliteItemScrollName","&6Elite Item Scroll","&6Cuộn Vật Phẩm Elite"
"ItemSettings.itemLoreStructureV2[0]","&7&m&l---------&7<&lEquip Info&7>&m&l---------","&7&m&l---------&7<&lThông Tin Trang Bị&7>&m&l---------"
"ItemSettings.itemLoreStructureV2[1]","&7Item level: &f$itemLevel &7Prestige &6$prestigeLevel","&7Cấp vật phẩm: &f$itemLevel &7Danh Tiếng &6$prestigeLevel"
"ItemSettings.itemLoreStructureV2[2]","$weaponOrArmorStats","$weaponOrArmorStats"
"ItemSettings.itemLoreStructureV2[3]","$soulbindInfo","$soulbindInfo"
"ItemSettings.itemLoreStructureV2[4]","$itemSource","$itemSource"
"ItemSettings.itemLoreStructureV2[5]","$ifLore&7&m&l-----------&7< &f&lLore&7 >&m&l-----------","$ifLore&7&m&l-----------&7< &f&lCâu Chuyện&7 >&m&l-----------"
"ItemSettings.itemLoreStructureV2[6]","$customLore","$customLore"
"ItemSettings.itemLoreStructureV2[7]","$ifEnchantments&7&m&l--------&7<&9&lEnchantments&7>&m&l--------","$ifEnchantments&7&m&l--------&7<&9&lPhong Ấn&7>&m&l--------"
"ItemSettings.itemLoreStructureV2[8]","$enchantments","$enchantments"
"ItemSettings.itemLoreStructureV2[9]","$eliteEnchantments","$eliteEnchantments"
"ItemSettings.itemLoreStructureV2[10]","$ifCustomEnchantments&7&m&l------&7< &3&lCustom Enchants&7 >&m&l------","$ifCustomEnchantments&7&m&l------&7< &3&lPhong Ấn Tùy Chỉnh&7 >&m&l------"
"ItemSettings.itemLoreStructureV2[11]","$customEnchantments","$customEnchantments"
"ItemSettings.itemLoreStructureV2[12]","$ifPotionEffects&7&m&l----------&7< &5&lEffects&7 >&m&l----------","$ifPotionEffects&7&m&l----------&7< &5&lHiệu Ứng&7 >&m&l----------"
"ItemSettings.itemLoreStructureV2[13]","$potionEffect","$potionEffect"
"ItemSettings.itemLoreStructureV2[14]","&7&l&m-----------------------------","&7&l&m-----------------------------"
"ItemSettings.itemLoreStructureV2[15]","$loreResaleValue","$loreResaleValue"
"ItemSettings.levelRangeTooDifferent","&8EM] &4Your gear is level $playerLevel and the boss is level $bossLevel, level difference is too high to get coins!","&8EM] &4Trang bị của bạn cấp $playerLevel và trùm cấp $bossLevel, chênh lệch cấp quá lớn để nhận xu!"
"ItemSettings.loreResaleValues","&7Sells for $resale $currencyName","&7Bán được $resale $currencyName"
"ItemSettings.loreWorths","&7Worth $worth $currencyName","&7Trị giá $worth $currencyName"
"ItemSettings.mobSourceItemLores","&7Looted from $mob","&7Chiến lợi phẩm từ $mob"
"ItemSettings.noItemDurabilityMessage","&8[EliteMobs] $item &4is broken! It won't work until repaired!","&8[EliteMobs] $item &4bị vỡ! Nó sẽ không hoạt động cho đến khi được sửa chữa!"
"ItemSettings.noSoulbindLore","&7Not Soulbound!","&7Không ràng buộc linh hồn!"
"ItemSettings.preventEliteItemDisenchantmentMessage","&c[EliteMobs] Can't disenchant Elite Items!","&c[EliteMobs] Không thể gỡ phong ấn Vật Phẩm Elite!"
"ItemSettings.scrapFailedMessageV2","&8[EliteMobs] &cScrapping failed $amount times!","&8[EliteMobs] &cTháo dỡ thất bại $amount lần!"
"ItemSettings.scrapSucceededMessageV2","&8[EliteMobs] &2Scrapping succeeded $amount times!","&8[EliteMobs] &2Tháo dỡ thành công $amount lần!"
"ItemSettings.shopSourceItemLores","&7Purchased from a store","&7Mua từ cửa hàng"
"ItemSettings.simlootMessageFailure","&8[EliteMobs] &cRolled for loot and got nothing!","&8[EliteMobs] &cQuay chiến lợi phẩm và không nhận được gì!"
"ItemSettings.simlootMessageSuccess","&8[EliteMobs] &2Rolled for loot and got $itemName &2!","&8[EliteMobs] &2Quay chiến lợi phẩm và nhận được $itemName &2!"
"ItemSettings.weaponEntry","&7Elite DPS: &2$EDPS","&7DPS Elite: &2$EDPS"
"LiftAirFiller.deathMessages[0]","Filling lift with blocks!","Đang lấp đầy thang máy bằng khối!"
"LiftAirFiller.name","$eventBossLevel &dLift Air Filler","$eventBossLevel &dKẻ Lấp Đầy Thang Máy"
"LiftStateFinishDungeon.name","$bossLevel &dLift Master","$bossLevel &dChúa Tể Thang Máy"
"LiftStateFour.deathMessages[0]","&7The lift suddenly moves downwards with great force!","&7Thang máy đột ngột di chuyển xuống với lực lớn!"
"LiftStateFour.name","$bossLevel &dLift Master","$bossLevel &dChúa Tể Thang Máy"
"LiftStateOne.deathMessages[0]","&7The lift suddenly moves downwards with great force!","&7Thang máy đột ngột di chuyển xuống với lực lớn!"
"LiftStateOne.name","$bossLevel &dLift Master","$bossLevel &dChúa Tể Thang Máy"
"LiftStateThree.deathMessages[0]","&7The lift suddenly moves downwards with great force!","&7Thang máy đột ngột di chuyển xuống với lực lớn!"
"LiftStateThree.name","$bossLevel &dLift Master","$bossLevel &dChúa Tể Thang Máy"
"LiftStateTwo.deathMessages[0]","&7The lift suddenly moves downwards with great force!","&7Thang máy đột ngột di chuyển xuống với lực lớn!"
"LiftStateTwo.name","$bossLevel &dLift Master","$bossLevel &dChúa Tể Thang Máy"
"LiftStateZero.deathMessages[0]","Setting lift to state zero!","Đang đặt thang máy về trạng thái không!"
"LiftStateZero.name","$eventBossLevel &dLift State Zero","$eventBossLevel &dThang Máy Trạng Thái Không"
"MobCombatSettings.autoclickerThrottleMessage","&c[EliteMobs] &7You are attacking too fast. Damage to elites disabled for &e$seconds&7s.","&c[EliteMobs] &7You are attacking too fast. Damage to elites disabled for &e$seconds&7s."
"MobCombatSettings.bossKillParticipationMessage","&eYour damage: &2$playerDamage","&eÁt kích của bạn: &2$playerDamage"
"MobCombatSettings.bossLocationMessage","&7[EM] &2[Click to track!]","&7[EM] &2[Nhấn để theo dõi!]"
"MobCombatSettings.defaultOtherWorldBossLocationMessage","$name: In different world!","$name: Ở thế giới khác!"
"MobCombatSettings.fullHealMessage","&2FULL HEAL!","&2HỒI PHỤC HOÀN TOÀN!"
"MobCombatSettings.healPopupFormat","+$amount HP","+$amount HP"
"MobCombatSettings.healthDisplaySeparator"," &7/ "," &7/ "
"MobCombatSettings.resistText","&c&lResist!","&c&lKháng!"
"MobCombatSettings.scaledHighThreatLevelSymbol","☠","☠"
"MobCombatSettings.scaledStandardLevelSymbol","「⚔」","「⚔」"
"MobCombatSettings.weakText","&9&lWeak!","&9&lYếu!"
"MobCombatSettings.xpPopupFormat","+$amount ✦XP","+$amount ✦XP"
"PeaceBanner.itemLore[0]","&7Place to create a peaceful zone","&7Place to create a peaceful zone"
"PeaceBanner.itemLore[1]","&7Prevents elite mob spawning","&7Prevents elite mob spawning"
"PeaceBanner.itemLore[2]","&7within a &f4 chunk &7radius","&7within a &f4 chunk &7radius"
"PeaceBanner.itemName","&aPeace Banner","&aPeace Banner"
"PeaceBanner.placedMessage","&aPeace Banner placed! Elite mobs will not spawn within a &f$radius chunk &aradius.","&aPeace Banner placed! Elite mobs will not spawn within a &f$radius chunk &aradius."
"PeaceBanner.removedMessage","&cPeace Banner removed. Elite mobs can now spawn in this area again.","&cPeace Banner removed. Elite mobs can now spawn in this area again."
"Quests.arenaQuestScoreboardProgressionMessage","&c➤Complete $arenaName","&c➤Complete $arenaName"
"Quests.chatTrackHover","&2Click to track!","&2Nhấn để theo dõi!"
"Quests.chatTrackMessage","&8[EliteMobs]&2 Click here to track your quest!","&8[EliteMobs]&2 Nhấn vào đây để theo dõi nhiệm vụ!"
"Quests.chatTrackingHover","&2Click to untrack/track! /em -> Quests to track a different quest!","&2Nhấn để bỏ/theo dõi! /em -> Nhiệm vụ để theo dõi nhiệm vụ khác!"
"Quests.chatTrackingMessage","&8[EliteMobs]&9 You are now tracking a quest!","&8[EliteMobs]&9 Bạn đang theo dõi một nhiệm vụ!"
"Quests.dialogQuestChatProgressionMessage","&8[EliteMobs]&c➤Talk to $name:$color$current&0/$color$target","&8[EliteMobs]&c➤Nói chuyện với $name:$color$current&0/$color$target"
"Quests.dialogQuestScoreboardProgressionMessage","&c➤Talk to $name:$color$current&0/$color$target","&c➤Nói chuyện với $name:$color$current&0/$color$target"
"Quests.fetchQuestChatProgressionMessage","&8[EliteMobs]&c➤Get $name:$color$current&0/$color$target","&8[EliteMobs]&c➤Nhận $name:$color$current&0/$color$target"
"Quests.fetchQuestScoreboardProgressionMessage","&c➤Get $name:$color$current&0/$color$target","&c➤Nhận $name:$color$current&0/$color$target"
"Quests.invalidQuestIdMessage","&8[EliteMobs] &cInvalid quest ID for ID $questId","&8[EliteMobs] &cID nhiệm vụ không hợp lệ cho ID $questId"
"Quests.invalidQuestMessage","Invalid quest: $quest","Nhiệm vụ không hợp lệ: $quest"
"Quests.invalidQuestNpcMessage","[EliteMobs] This NPC's quest is not valid! This might be a configuration error on the NPC or on the quest.","[EliteMobs] Nhiệm vụ của NPC này không hợp lệ! Đây có thể là lỗi cấu hình trên NPC hoặc nhiệm vụ."
"Quests.killQuestChatProgressionMessage","&8[EliteMobs]&c➤Kill $name:$color$current&0/$color$target","&8[EliteMobs]&c➤Giết $name:$color$current&0/$color$target"
"Quests.killQuestScoreboardProgressionMessage","&c➤Kill $name:$color$current&0/$color$target","&c➤Giết $name:$color$current&0/$color$target"
"Quests.leaveWhenNoActiveQuestsExist","&cYou don't currently have an active quest!","&cBạn hiện không có nhiệm vụ đang hoạt động!"
"Quests.lowRankDynamicQuestWarning","&8[EliteMobs] &cYou can't take these quests with your current guild rank! Increase your guild rank to accept these quests.","&8[EliteMobs] &cBạn không thể nhận những nhiệm vụ này với cấp hội hiện tại! Tăng cấp hội để chấp nhận những nhiệm vụ này."
"Quests.noQuestDestinationFound","[EM] No quest destination found!","[EM] Không tìm thấy điểm đến nhiệm vụ!"
"Quests.questAbandonText","&l&c[Abandon]","&l&c[Bỏ Bỏ Nhiệm Vụ]"
"Quests.questAcceptedStatus"," &f| &aAccepted"," &f| &aĐã Chấp Nhận"
"Quests.questAlreadyCompletedMessage","&8[EliteMobs] &cYou already completed this quest!","&8[EliteMobs] &cBạn đã hoàn thành nhiệm vụ này rồi!"
"Quests.questBackToStatusMenu","← Back to Status Menu","← Quay Lại Menu Trạng Thái"
"Quests.questCapMessage","&8[EliteMobs] &cYou have reached the maximum amount of active quests (10)! &4Abandon or complete at least one active quest if you want to get more quests!","&8[EliteMobs] &cBạn đã đạt số lượng nhiệm vụ đang hoạt động tối đa (10)! &4Bỏ hoặc hoàn thành ít nhất một nhiệm vụ để nhận thêm!"
"Quests.questCompleteMessage","&2You completed the quest $questName &2!","&2Bạn đã hoàn thành nhiệm vụ $questName &2!"
"Quests.questCompleteSubtitle","$questName","$questName"
"Quests.questCompleteTitle","&2Quest Completed!","&2Nhiệm Vụ Hoàn Thành!"
"Quests.questDestinationInOtherWorld","[EM] Go to world $world!","[EM] Đến thế giới $world!"
"Quests.questJoinMessage","&aYou have accepted the quest $questName &a!","&aBạn đã chấp nhận nhiệm vụ $questName &a!"
"Quests.questLeaveMessage","&cYou have abandoned the quest $questName &c!","&cBạn đã bỏ nhiệm vụ $questName &c!"
"Quests.questLeaveTitle","&cQuest Abandoned!","&cĐã Bỏ Nhiệm Vụ!"
"Quests.questLockoutChatMessage","&c[EliteMobs] &7You completed &c$questName &7recently and must wait another &e$remainingTime &7before you can accept it again.","&c[EliteMobs] &7Bạn đã hoàn thành &c$questName &7gần đây và phải chờ thêm &e$remainingTime &7trước khi chấp nhận lại."
"Quests.questLockoutSubtitle","&cQuest Lockout!","&cKhóa Nhiệm Vụ!"
"Quests.questPrerequisitesMissingMessage","&8[EliteMobs] &cThis NPC has some quest(s) you can't accept yet!","&8[EliteMobs] &cNPC này có một số nhiệm vụ bạn chưa thể chấp nhận!"
"Quests.questStartTitle","&aQuest Accepted!","&aNhiệm Vụ Được Chấp Nhận!"
"Quests.questTrackingInvalidMessage","[EliteMobs] Failed to get a valid quest with that quest ID!","[EliteMobs] Không thể tìm nhiệm vụ hợp lệ với ID nhiệm vụ đó!"
"Quests.questTurnInObjective","&a2Talk to $npcName","&a2Nói chuyện với $npcName"
"Quests.questTurnInStatus"," &f| &2Turn in!"," &f| &2Nộp nhiệm vụ!"
"SpecialItemSystems.challengeAnnouncement","&8[EliteMobs] $player &6is challenging a boss to enchant $itemName&6!","&8[EliteMobs] $player &6đang thách đấu một trùm để phong ấn $itemName&6!"
"SpecialItemSystems.criticalFailureAnnouncement","&8[EliteMobs] $player &clost $itemName &cwhile trying to enchant it!","&8[EliteMobs] $player &cmất $itemName &ctrong khi cố gắng phong ấn!"
"SpecialItemSystems.insufficientFundsMessage","&8[EliteMobs] &c$price $currencyName is required to enchant $itemName, but you only have $currentAmount!","&8[EliteMobs] &cCần $price $currencyName để phong ấn $itemName, nhưng bạn chỉ có $currentAmount!"
"SpecialItemSystems.newFundsMessage","&8[EliteMobs] &fYou just spent $price $currencyName! You now have $currentAmount $currencyName.","&8[EliteMobs] &fBạn vừa dùng $price $currencyName! Bạn hiện có $currentAmount $currencyName."
